name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
C4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
CZ	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
EKG1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
EKG2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA11	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA12	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB11	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LB12	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC01	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LC02	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LC03	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LC04	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LC05	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LC06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LC08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD02	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LD03	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LD04	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LD05	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LD06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LD08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE01	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LE02	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LE03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE04	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LE05	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LE06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LE08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LF08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LG01	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LG02	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LG03	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LG04	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
LG05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LG06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LG07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LG08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH11	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LH12	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI01	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI02	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI03	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI04	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI05	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI06	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI07	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI08	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI09	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI10	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LI11	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
